Susceptible,Infected,Recovered
329,162,9
200,275,25
110,350,40
54,377,69
33,377,90
25,357,118
16,352,132
10,341,149
9,322,169
5,315,180
4,302,194
3,289,208
2,280,218
2,263,235
6,244,250
6,232,262
3,228,269
1,223,276
2,208,290
5,194,301
4,186,310
6,179,315
6,174,320
6,172,322
9,167,324
11,161,328
11,156,333
14,147,339
10,145,345
11,137,352
13,127,360
12,123,365
18,111,371
20,106,374
19,100,381
18,99,383
18,96,386
12,99,389
13,96,391
14,91,395
12,90,398
16,86,398
17,83,400
19,79,402
23,75,402
23,76,401
23,77,400
24,79,397
23,83,394
20,82,398
23,77,400
22,75,403
20,76,404
20,76,404
22,74,404
22,70,408
22,71,407
21,64,415
25,64,411
27,64,409
27,63,410
26,59,415
30,59,411
33,58,409
39,57,404
41,56,403
38,56,406
39,54,407
40,53,407
46,55,399
46,57,397
46,54,400
48,52,400
51,52,397
51,53,396
60,53,387
63,52,385
61,53,386
66,50,384
67,49,384
65,52,383
62,56,382
62,60,378
59,62,379
54,67,379
59,65,376
59,65,376
61,65,374
58,67,375
60,66,374
58,69,373
62,67,371
64,68,368
55,70,375
54,69,377
53,66,381
49,66,385
52,66,382
52,67,381
50,69,381
49,71,380
44,75,381
41,78,381
42,77,381
44,80,376
48,82,370
49,80,371
48,82,370
42,85,373
43,85,372
44,82,374
43,80,377
45,76,379
48,76,376
48,78,374
46,79,375
42,83,375
47,82,371
44,88,368
41,87,372
40,88,372
41,86,373
35,89,376
35,91,374
36,91,373
36,91,373
35,89,376
39,85,376
39,81,380
38,80,382
38,78,384
35,82,383
31,83,386
33,82,385
34,81,385
39,81,380
37,83,380
40,79,381
43,77,380
45,77,378
42,76,382
46,75,379
40,74,386
40,70,390
39,73,388
44,66,390
42,66,392
37,73,390
35,74,391
33,75,392
37,74,389
37,74,389
37,68,395
42,65,393
41,67,392
48,66,386
46,65,389
51,62,387
48,64,388
48,65,387
47,70,383
49,73,378
49,74,377
46,77,377
45,76,379
43,76,381
39,79,382
34,83,383
35,78,387
31,82,387
34,83,383
38,75,387
38,73,389
35,73,392
39,71,390
42,73,385
45,72,383
45,76,379
46,74,380
43,79,378
42,80,378
42,80,378
42,84,374
40,81,379
41,80,379
41,79,380
38,82,380
40,80,380
41,81,378
42,80,378
38,83,379
37,82,381
33,84,383
32,84,384
30,83,387
35,80,385
39,76,385
44,79,377
45,79,376
43,79,378
41,78,381
40,84,376
36,88,376
39,88,373
31,94,375
32,93,375
27,90,383
31,87,382
28,87,385
34,87,379
34,83,383
35,86,379
39,82,379
40,84,376
38,87,375
35,88,377
31,91,378
32,86,382
35,80,385
35,76,389
38,74,388
42,71,387
43,68,389
43,69,388
42,67,391
40,67,393
37,68,395
39,68,393
38,70,392
40,71,389
38,72,390
39,74,387
38,79,383
36,81,383
33,80,387
33,80,387
29,84,387
31,81,388
34,79,387
32,84,384
31,85,384
31,84,385
30,85,385
30,85,385
30,83,387
29,84,387
33,85,382
33,86,381
31,86,383
31,85,384
35,84,381
35,84,381
39,82,379
36,82,382
41,83,376
37,85,378
38,83,379
36,86,378
38,84,378
37,85,378
37,83,380
38,83,379
41,82,377
45,81,374
49,74,377
49,77,374
48,78,374
46,82,372
41,83,376
42,75,383
44,75,381
45,75,380
46,77,377
45,80,375
46,75,379
45,79,376
46,76,378
50,72,378
53,70,377
51,73,376
47,75,378
49,72,379
48,76,376
46,75,379
45,74,381
46,72,382
46,74,380
45,76,379
43,83,374
41,84,375
36,87,377
33,89,378
36,81,383
42,81,377
41,83,376
35,84,381
33,83,384
32,81,387
31,82,387
31,79,390
29,80,391
30,80,390
31,79,390
36,79,385
33,82,385
33,77,390
33,77,390
36,74,390
37,71,392
35,72,393
35,74,391
35,77,388
30,77,393
35,70,395
37,67,396
36,68,396
37,70,393
39,70,391
35,71,394
35,71,394
36,69,395
35,71,394
36,72,392
37,71,392
37,74,389
34,73,393
41,71,388
39,74,387
40,74,386
41,75,384
37,78,385
38,77,385
36,77,387
37,75,388
38,74,388
42,71,387
39,73,388
43,72,385
38,71,391
37,68,395
39,68,393
42,65,393
39,70,391
35,73,392
32,74,394
35,74,391
37,74,389
37,71,392
39,67,394
38,66,396
41,67,392
48,69,383
45,72,383
42,71,387
44,71,385
41,72,387
43,69,388
43,67,390
44,63,393
46,67,387
44,71,385
46,71,383
52,74,374
51,75,374
49,76,375
49,74,377
47,76,377
40,81,379
39,80,381
35,84,381
34,85,381
36,83,381
33,80,387
35,80,385
35,77,388
42,76,382
41,76,383
41,77,382
38,81,381
39,82,379
40,81,379
36,82,382
36,82,382
42,80,378
45,79,376
42,83,375
42,84,374
41,84,375
41,83,376
44,83,373
40,90,370
